datetime,description,icon
2025-05-31,Partly cloudy throughout the day with rain clearing later.,rain
2025-06-01,Partly cloudy throughout the day.,partly-cloudy-day
2025-06-02,Partly cloudy throughout the day.,partly-cloudy-day
2025-06-03,Clear conditions throughout the day.,clear-day
2025-06-04,Partly cloudy throughout the day.,partly-cloudy-day
2025-06-05,Partly cloudy throughout the day.,partly-cloudy-day
2025-06-06,Partly cloudy throughout the day.,partly-cloudy-day
2025-06-07,Partly cloudy throughout the day.,partly-cloudy-day
