datetime,tempmin,temp,tempmax
2025-06-04,15.6,21.8,29.3
2025-06-05,17.8,23.1,27.3
2025-06-06,18.9,21.0,22.8
2025-06-07,17.8,18.8,20.0
2025-06-08,16.8,18.5,20.5
2025-06-09,15.4,18.4,21.1
2025-06-10,16.9,19.9,22.6
2025-06-11,19.1,21.6,24.4
