datetime,tempmin,temp,tempmax
2025-06-09,13.9,14.5,15.0
2025-06-10,14.5,16.8,18.9
2025-06-11,17.8,21.3,25.0
2025-06-12,20.0,22.8,25.6
2025-06-13,17.7,20.1,22.1
2025-06-14,15.9,17.0,18.0
2025-06-15,14.9,16.5,17.8
2025-06-16,15.2,17.6,19.5
