datetime,description,icon
2025-06-09,Cloudy skies throughout the day with early morning rain.,rain
2025-06-10,Cloudy skies throughout the day with afternoon rain.,rain
2025-06-11,Clear conditions throughout the day.,clear-day
2025-06-12,Partly cloudy throughout the day.,partly-cloudy-day
2025-06-13,Partly cloudy throughout the day.,partly-cloudy-day
2025-06-14,Partly cloudy throughout the day.,partly-cloudy-day
2025-06-15,Partly cloudy throughout the day.,partly-cloudy-day
2025-06-16,Partly cloudy throughout the day.,partly-cloudy-day
