datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
2025-06-09,1749441600,15.0,13.9,14.5,15.0,13.9,14.5,12.7,89.1,0.004,100.0,4.17,['rain'],0.0,0.0,29.5,25.7,63.7,1015.3,97.8,7.2,415.1,35.9,7.0,10.0,05:07:24,1749460044,20:20:09,1749514809,0.45,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"['KOWD', 'AV085', 'KBED', '0518W', 'KBOS']",comb
2025-06-10,1749528000,18.9,14.5,16.8,18.9,14.5,16.8,14.3,85.1,18.9,53.0,62.5,['rain'],0.0,0.0,16.6,11.2,75.5,1012.0,91.2,1.0,83.4,7.2,3.0,10.0,05:07:14,1749546434,20:20:42,1749601242,0.48,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,,fcst
2025-06-11,1749614400,25.0,17.8,21.3,25.0,17.8,21.3,14.3,66.4,0.0,12.0,0.0,,0.0,0.0,31.3,18.4,249.9,1013.5,16.0,13.6,369.1,31.9,9.0,10.0,05:07:06,1749632826,20:21:13,1749687673,0.5,Clear,Clear conditions throughout the day.,clear-day,,fcst
2025-06-12,1749700800,25.6,20.0,22.8,25.6,20.0,22.8,13.2,55.2,1.2,12.0,4.17,['rain'],0.0,0.0,35.3,22.3,263.0,1014.4,22.0,17.2,326.1,28.2,8.0,10.0,05:07:00,1749719220,20:21:42,1749774102,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst
2025-06-13,1749787200,22.1,17.7,20.1,22.1,17.7,20.1,10.6,54.7,0.0,17.0,0.0,,0.0,0.0,20.2,11.5,35.5,1021.5,62.5,24.1,252.0,21.6,6.0,10.0,05:06:57,1749805617,20:22:10,1749860530,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst
2025-06-14,1749873600,18.0,15.9,17.0,18.0,15.9,17.0,10.5,65.8,0.2,44.0,4.17,['rain'],0.0,0.0,23.0,13.3,74.3,1025.2,84.2,24.1,154.5,13.5,6.0,10.0,05:06:55,1749892015,20:22:36,1749946956,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst
2025-06-15,1749960000,17.8,14.9,16.5,17.8,14.9,16.5,11.5,72.5,2.8,44.0,4.17,['rain'],0.0,0.0,28.1,16.6,72.0,1018.4,55.6,24.1,197.4,17.0,7.0,10.0,05:06:56,1749978416,20:23:00,1750033380,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst
2025-06-16,1750046400,19.5,15.2,17.6,19.5,15.2,17.6,12.6,73.0,3.0,21.0,8.33,['rain'],0.0,0.0,23.4,14.4,125.5,1014.2,71.8,23.2,54.2,4.6,2.0,10.0,05:06:58,1750064818,20:23:22,1750119802,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst
