datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
2025-06-04,1749009600,29.3,15.6,21.8,28.3,15.6,21.7,10.3,49.1,0.0,0.0,0.0,,0.0,0.0,44.5,27.6,216.1,1020.4,61.0,16.0,500.0,43.2,8.0,10.0,05:08:45,1749028125,20:17:01,1749082621,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KOWD', 'AV085', 'KBED', '0518W', 'KBOS']",comb
2025-06-05,1749096000,27.3,17.8,23.1,27.8,17.8,23.1,15.8,64.5,0.0,12.0,0.0,,0.0,0.0,24.1,14.8,199.7,1015.7,28.2,16.2,291.5,25.2,9.0,30.0,05:08:24,1749114504,20:17:42,1749169062,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst
2025-06-06,1749182400,22.8,18.9,21.0,22.8,18.9,21.0,16.6,76.1,0.0,52.0,0.0,['rain'],0.0,0.0,20.5,13.0,121.4,1013.7,74.9,15.9,200.8,17.4,5.0,10.0,05:08:06,1749200886,20:18:21,1749255501,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,,fcst
2025-06-07,1749268800,20.0,17.8,18.8,20.0,17.8,18.8,15.3,80.5,0.0,60.0,0.0,['rain'],0.0,0.0,29.5,16.6,175.9,1008.6,84.2,14.1,115.9,9.9,4.0,10.0,05:07:50,1749287270,20:18:59,1749341939,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,,fcst
2025-06-08,1749355200,20.5,16.8,18.5,20.5,16.8,18.5,13.9,74.7,0.0,52.0,0.0,['rain'],0.0,0.0,23.0,13.3,77.4,1007.3,56.9,24.1,169.6,14.7,4.0,10.0,05:07:36,1749373656,20:19:35,1749428375,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,,fcst
2025-06-09,1749441600,21.1,15.4,18.4,21.1,15.4,18.4,13.5,73.5,1.2,24.0,8.33,['rain'],0.0,0.0,25.2,15.1,108.4,1011.4,48.0,19.1,160.8,13.9,4.0,10.0,05:07:24,1749460044,20:20:09,1749514809,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,fcst
2025-06-10,1749528000,22.6,16.9,19.9,22.6,16.9,19.9,14.8,73.0,6.7,49.0,8.33,['rain'],0.0,0.0,25.6,15.5,169.5,1013.4,84.8,19.3,298.6,25.8,7.0,10.0,05:07:14,1749546434,20:20:42,1749601242,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,,fcst
2025-06-11,1749614400,24.4,19.1,21.6,24.4,19.1,21.6,15.9,70.6,6.4,49.0,4.17,['rain'],0.0,0.0,26.3,14.8,238.3,1015.0,58.8,20.8,156.0,13.4,6.0,10.0,05:07:06,1749632826,20:21:13,1749687673,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,,fcst
